university_id,academic_level,academic_level_grade,university_size,university_size_grade,reward,count
u075,0.65,#65,0.52,#52,Literature,21
u075,0.65,#65,0.52,#52,Mathematics,30
u075,0.65,#65,0.52,#52,Biology,24
u075,0.65,#65,0.52,#52,Chemistry,21
u075,0.65,#65,0.52,#52,Physics,27
u075,0.65,#65,0.52,#52,Computer Science,20
u075,0.65,#65,0.52,#52,Politics,26
u075,0.65,#65,0.52,#52,History,17
u076,0.62,#62,0.73,#73,Literature,22
u076,0.62,#62,0.73,#73,Mathematics,30
u076,0.62,#62,0.73,#73,Biology,23
u076,0.62,#62,0.73,#73,Chemistry,19
u076,0.62,#62,0.73,#73,Physics,25
u076,0.62,#62,0.73,#73,Computer Science,22
u076,0.62,#62,0.73,#73,Politics,19
u076,0.62,#62,0.73,#73,History,16
u077,0.49,#49,0.84,#84,Literature,16
u077,0.49,#49,0.84,#84,Mathematics,17
u077,0.49,#49,0.84,#84,Biology,19
u077,0.49,#49,0.84,#84,Chemistry,19
u077,0.49,#49,0.84,#84,Physics,16
u077,0.49,#49,0.84,#84,Computer Science,23
u077,0.49,#49,0.84,#84,Politics,15
u077,0.49,#49,0.84,#84,History,18
u078,0.59,#59,0.57,#57,Literature,21
u078,0.59,#59,0.57,#57,Mathematics,17
u078,0.59,#59,0.57,#57,Biology,21
u078,0.59,#59,0.57,#57,Chemistry,16
u078,0.59,#59,0.57,#57,Physics,20
u078,0.59,#59,0.57,#57,Computer Science,19
u078,0.59,#59,0.57,#57,Politics,20
u078,0.59,#59,0.57,#57,History,22
u079,0.73,#73,0.51,#51,Literature,27
u079,0.73,#73,0.51,#51,Mathematics,29
u079,0.73,#73,0.51,#51,Biology,37
u079,0.73,#73,0.51,#51,Chemistry,21
u079,0.73,#73,0.51,#51,Physics,21
u079,0.73,#73,0.51,#51,Computer Science,35
u079,0.73,#73,0.51,#51,Politics,34
u079,0.73,#73,0.51,#51,History,31
u080,0.78,#78,0.63,#63,Literature,32
u080,0.78,#78,0.63,#63,Mathematics,36
u080,0.78,#78,0.63,#63,Biology,30
u080,0.78,#78,0.63,#63,Chemistry,33
u080,0.78,#78,0.63,#63,Physics,30
u080,0.78,#78,0.63,#63,Computer Science,33
u080,0.78,#78,0.63,#63,Politics,39
u080,0.78,#78,0.63,#63,History,36
u081,0.77,#77,0.59,#59,Literature,32
u081,0.77,#77,0.59,#59,Mathematics,33
u081,0.77,#77,0.59,#59,Biology,33
u081,0.77,#77,0.59,#59,Chemistry,34
u081,0.77,#77,0.59,#59,Physics,34
u081,0.77,#77,0.59,#59,Computer Science,34
u081,0.77,#77,0.59,#59,Politics,35
u081,0.77,#77,0.59,#59,History,33
u082,0.70,#70,0.85,#85,Literature,31
u082,0.70,#70,0.85,#85,Mathematics,32
u082,0.70,#70,0.85,#85,Biology,23
u082,0.70,#70,0.85,#85,Chemistry,26
u082,0.70,#70,0.85,#85,Physics,27
u082,0.70,#70,0.85,#85,Computer Science,27
u082,0.70,#70,0.85,#85,Politics,31
u082,0.70,#70,0.85,#85,History,32
u083,0.85,#85,0.73,#73,Literature,39
u083,0.85,#85,0.73,#73,Mathematics,37
u083,0.85,#85,0.73,#73,Biology,39
u083,0.85,#85,0.73,#73,Chemistry,32
u083,0.85,#85,0.73,#73,Physics,38
u083,0.85,#85,0.73,#73,Computer Science,38
u083,0.85,#85,0.73,#73,Politics,36
u083,0.85,#85,0.73,#73,History,36
u084,0.75,#75,0.52,#52,Literature,24
u084,0.75,#75,0.52,#52,Mathematics,38
u084,0.75,#75,0.52,#52,Biology,25
u084,0.75,#75,0.52,#52,Chemistry,28
u084,0.75,#75,0.52,#52,Physics,36
u084,0.75,#75,0.52,#52,Computer Science,27
u084,0.75,#75,0.52,#52,Politics,34
u084,0.75,#75,0.52,#52,History,29
u085,0.73,#73,0.73,#73,Literature,23
u085,0.73,#73,0.73,#73,Mathematics,30
u085,0.73,#73,0.73,#73,Biology,25
u085,0.73,#73,0.73,#73,Chemistry,28
u085,0.73,#73,0.73,#73,Physics,37
u085,0.73,#73,0.73,#73,Computer Science,28
u085,0.73,#73,0.73,#73,Politics,32
u085,0.73,#73,0.73,#73,History,31
u086,0.68,#68,0.48,#48,Literature,31
u086,0.68,#68,0.48,#48,Mathematics,23
u086,0.68,#68,0.48,#48,Biology,29
u086,0.68,#68,0.48,#48,Chemistry,25
u086,0.68,#68,0.48,#48,Physics,28
u086,0.68,#68,0.48,#48,Computer Science,29
u086,0.68,#68,0.48,#48,Politics,26
u086,0.68,#68,0.48,#48,History,23
u087,0.52,#52,0.69,#69,Literature,23
u087,0.52,#52,0.69,#69,Mathematics,20
u087,0.52,#52,0.69,#69,Biology,13
u087,0.52,#52,0.69,#69,Chemistry,16
u087,0.52,#52,0.69,#69,Physics,18
u087,0.52,#52,0.69,#69,Computer Science,16
u087,0.52,#52,0.69,#69,Politics,16
u087,0.52,#52,0.69,#69,History,17
u088,0.58,#58,0.63,#63,Literature,25
u088,0.58,#58,0.63,#63,Mathematics,17
u088,0.58,#58,0.63,#63,Biology,26
u088,0.58,#58,0.63,#63,Chemistry,15
u088,0.58,#58,0.63,#63,Physics,18
u088,0.58,#58,0.63,#63,Computer Science,18
u088,0.58,#58,0.63,#63,Politics,22
u088,0.58,#58,0.63,#63,History,20
u089,0.49,#49,0.54,#54,Literature,17
u089,0.49,#49,0.54,#54,Mathematics,21
u089,0.49,#49,0.54,#54,Biology,15
u089,0.49,#49,0.54,#54,Chemistry,13
u089,0.49,#49,0.54,#54,Physics,13
u089,0.49,#49,0.54,#54,Computer Science,22
u089,0.49,#49,0.54,#54,Politics,9
u089,0.49,#49,0.54,#54,History,15
u090,0.72,#72,0.57,#57,Literature,29
u090,0.72,#72,0.57,#57,Mathematics,24
u090,0.72,#72,0.57,#57,Biology,25
u090,0.72,#72,0.57,#57,Chemistry,27
u090,0.72,#72,0.57,#57,Physics,31
u090,0.72,#72,0.57,#57,Computer Science,29
u090,0.72,#72,0.57,#57,Politics,30
u090,0.72,#72,0.57,#57,History,27
u091,0.62,#62,0.77,#77,Literature,19
u091,0.62,#62,0.77,#77,Mathematics,18
u091,0.62,#62,0.77,#77,Biology,26
u091,0.62,#62,0.77,#77,Chemistry,29
u091,0.62,#62,0.77,#77,Physics,22
u091,0.62,#62,0.77,#77,Computer Science,28
u091,0.62,#62,0.77,#77,Politics,20
u091,0.62,#62,0.77,#77,History,29
u092,0.82,#82,0.84,#84,Literature,37
u092,0.82,#82,0.84,#84,Mathematics,35
u092,0.82,#82,0.84,#84,Biology,28
u092,0.82,#82,0.84,#84,Chemistry,35
u092,0.82,#82,0.84,#84,Physics,31
u092,0.82,#82,0.84,#84,Computer Science,37
u092,0.82,#82,0.84,#84,Politics,31
u092,0.82,#82,0.84,#84,History,37
u093,0.83,#83,0.67,#67,Literature,38
u093,0.83,#83,0.67,#67,Mathematics,41
u093,0.83,#83,0.67,#67,Biology,37
u093,0.83,#83,0.67,#67,Chemistry,34
u093,0.83,#83,0.67,#67,Physics,34
u093,0.83,#83,0.67,#67,Computer Science,33
u093,0.83,#83,0.67,#67,Politics,33
u093,0.83,#83,0.67,#67,History,30
u094,0.61,#61,0.84,#84,Literature,26
u094,0.61,#61,0.84,#84,Mathematics,19
u094,0.61,#61,0.84,#84,Biology,24
u094,0.61,#61,0.84,#84,Chemistry,27
u094,0.61,#61,0.84,#84,Physics,24
u094,0.61,#61,0.84,#84,Computer Science,25
u094,0.61,#61,0.84,#84,Politics,22
u094,0.61,#61,0.84,#84,History,29
u095,0.64,#64,0.85,#85,Literature,23
u095,0.64,#64,0.85,#85,Mathematics,25
u095,0.64,#64,0.85,#85,Biology,25
u095,0.64,#64,0.85,#85,Chemistry,20
u095,0.64,#64,0.85,#85,Physics,25
u095,0.64,#64,0.85,#85,Computer Science,27
u095,0.64,#64,0.85,#85,Politics,22
u095,0.64,#64,0.85,#85,History,27
u096,0.67,#67,0.41,#41,Literature,21
u096,0.67,#67,0.41,#41,Mathematics,24
u096,0.67,#67,0.41,#41,Biology,29
u096,0.67,#67,0.41,#41,Chemistry,29
u096,0.67,#67,0.41,#41,Physics,23
u096,0.67,#67,0.41,#41,Computer Science,27
u096,0.67,#67,0.41,#41,Politics,19
u096,0.67,#67,0.41,#41,History,24
u097,0.76,#76,0.59,#59,Literature,39
u097,0.76,#76,0.59,#59,Mathematics,29
u097,0.76,#76,0.59,#59,Biology,30
u097,0.76,#76,0.59,#59,Chemistry,33
u097,0.76,#76,0.59,#59,Physics,25
u097,0.76,#76,0.59,#59,Computer Science,27
u097,0.76,#76,0.59,#59,Politics,25
u097,0.76,#76,0.59,#59,History,25
u098,0.79,#79,0.49,#49,Literature,38
u098,0.79,#79,0.49,#49,Mathematics,32
u098,0.79,#79,0.49,#49,Biology,38
u098,0.79,#79,0.49,#49,Chemistry,30
u098,0.79,#79,0.49,#49,Physics,38
u098,0.79,#79,0.49,#49,Computer Science,36
u098,0.79,#79,0.49,#49,Politics,30
u098,0.79,#79,0.49,#49,History,30
u099,0.59,#59,0.73,#73,Literature,25
u099,0.59,#59,0.73,#73,Mathematics,26
u099,0.59,#59,0.73,#73,Biology,26
u099,0.59,#59,0.73,#73,Chemistry,24
u099,0.59,#59,0.73,#73,Physics,14
u099,0.59,#59,0.73,#73,Computer Science,21
u099,0.59,#59,0.73,#73,Politics,20
u099,0.59,#59,0.73,#73,History,21
u100,0.66,#66,0.72,#72,Literature,17
u100,0.66,#66,0.72,#72,Mathematics,29
u100,0.66,#66,0.72,#72,Biology,24
u100,0.66,#66,0.72,#72,Chemistry,21
u100,0.66,#66,0.72,#72,Physics,21
u100,0.66,#66,0.72,#72,Computer Science,19
u100,0.66,#66,0.72,#72,Politics,26
u100,0.66,#66,0.72,#72,History,22
